mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svr__C,param_svr__kernel,params,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,split5_test_neg_mean_squared_error,split6_test_neg_mean_squared_error,split7_test_neg_mean_squared_error,split8_test_neg_mean_squared_error,split9_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,split0_train_neg_mean_squared_error,split1_train_neg_mean_squared_error,split2_train_neg_mean_squared_error,split3_train_neg_mean_squared_error,split4_train_neg_mean_squared_error,split5_train_neg_mean_squared_error,split6_train_neg_mean_squared_error,split7_train_neg_mean_squared_error,split8_train_neg_mean_squared_error,split9_train_neg_mean_squared_error,mean_train_neg_mean_squared_error,std_train_neg_mean_squared_error
0.008500814437866211,0.0005022956090349078,0.0009998321533203126,4.098026313756065e-06,100,RBF(length_scale=0.25),"{'svr__C': 100, 'svr__kernel': RBF(length_scale=0.25)}",-0.01173419034150885,-0.010025913552966706,-0.012885982556086176,-0.016377985829987115,-0.014053013234638123,-0.01121662940150522,-0.010589044321591374,-0.007672579199326633,-0.008859658033588158,-0.013398943448370499,-0.011681393991956886,0.002454974321556512,21,-0.006164125364044698,-0.0062261194499503136,-0.006093160748068457,-0.006251820823442358,-0.006282490384417497,-0.006188561858277679,-0.0062181666525667045,-0.006255909076227097,-0.006251107291755003,-0.0061567069343570514,-0.006208816858310685,5.4926733238205195e-05
0.0063972949981689455,0.0007994219881950316,0.0008003711700439453,0.0004001882660679102,100,RBF(length_scale=0.5),"{'svr__C': 100, 'svr__kernel': RBF(length_scale=0.5)}",-0.009421263291716948,-0.007477694844729831,-0.007187148886765027,-0.007499543137043456,-0.008296824497208893,-0.006914020479349017,-0.0065999753965121696,-0.005974659326946987,-0.007169985635307846,-0.007853773301829122,-0.00743948887974093,0.000900115825368867,16,-0.006018152972071843,-0.006080436181779439,-0.006021332731206841,-0.006097223140413714,-0.006171639420219009,-0.006135235026558666,-0.005989506515237189,-0.0061470235035723155,-0.006028307144577028,-0.0059118638741948075,-0.0060600720509830855,7.659263607321562e-05
0.009000229835510253,0.0006256288509897455,0.0009000778198242187,0.0003000363222618746,100,RBF(length_scale=1),"{'svr__C': 100, 'svr__kernel': RBF(length_scale=1)}",-0.006439486629690953,-0.004484603899556253,-0.0049505708676999246,-0.004951451627515505,-0.005440242616141917,-0.004162263606698874,-0.005620617682668896,-0.004105946976372363,-0.006472432103870082,-0.004555596330911684,-0.0051183212341126445,0.0008153661632062739,11,-0.004690010048804813,-0.00445097243813289,-0.004422671767998622,-0.004292472145449571,-0.0043527932806603,-0.0044905655138213,-0.004448359056030324,-0.004302503466337486,-0.004330602574410807,-0.00448826752088739,-0.0044269217812533505,0.00011243414086021508
0.01100142002105713,0.001189485015030593,0.0009942293167114259,1.7339588430706285e-05,100,RBF(length_scale=2),"{'svr__C': 100, 'svr__kernel': RBF(length_scale=2)}",-0.005547237819216835,-0.00368880463009782,-0.0034624546955544246,-0.004318759614878094,-0.005393508336425845,-0.00450068430029178,-0.003969285700518118,-0.003826406796314607,-0.005256327003615366,-0.003877143936386893,-0.004384061283329977,0.0007227308457182748,5,-0.003932813638456755,-0.0039164853761220276,-0.004049869748385976,-0.0038684327264289524,-0.0039809035319801804,-0.004059648849447014,-0.004096385306147545,-0.004103090761037121,-0.003797339860226915,-0.003982986312539764,-0.0039787956110772255,9.591166152215767e-05
0.011792945861816406,0.0013993308481202978,0.0011005878448486328,0.00030023289334332227,100,RBF(length_scale=4),"{'svr__C': 100, 'svr__kernel': RBF(length_scale=4)}",-0.0065385499702939835,-0.005022347462482041,-0.005645296075934483,-0.005158090103637628,-0.004978234868202367,-0.004515860404468651,-0.004011059797416627,-0.003977424902390005,-0.004262082094968772,-0.0043743710470697935,-0.004848331672686435,0.00075983313670345,10,-0.004188895669175135,-0.004461010105403437,-0.004532007290714997,-0.004544291630310438,-0.004533777470436285,-0.004605191477747753,-0.004673211157477642,-0.004562630561340387,-0.004621633142425643,-0.004533622323917603,-0.004525627082894931,0.0001252121386792891
0.008301234245300293,0.00045844995753785504,0.001102590560913086,0.00030939754925198563,200,RBF(length_scale=0.25),"{'svr__C': 200, 'svr__kernel': RBF(length_scale=0.25)}",-0.01173419034150885,-0.010025913552966706,-0.012885982556086176,-0.016377985829987115,-0.014053013234638123,-0.01121662940150522,-0.010589044321591374,-0.007672579199326633,-0.008859658033588158,-0.013398943448370499,-0.011681393991956886,0.002454974321556512,21,-0.006164125364044698,-0.0062261194499503136,-0.006093160748068457,-0.006251820823442358,-0.006282490384417497,-0.006188561858277679,-0.0062181666525667045,-0.006255909076227097,-0.006251107291755003,-0.0061567069343570514,-0.006208816858310685,5.4926733238205195e-05
0.006098699569702148,0.0005365593972062096,0.0012011051177978516,0.00040003578082688695,200,RBF(length_scale=0.5),"{'svr__C': 200, 'svr__kernel': RBF(length_scale=0.5)}",-0.009421263291716948,-0.007477694844729831,-0.007187148886765027,-0.007499543137043456,-0.008296824497208893,-0.006914020479349017,-0.0065999753965121696,-0.005974659326946987,-0.007169985635307846,-0.007853773301829122,-0.00743948887974093,0.000900115825368867,16,-0.006018152972071843,-0.006080436181779439,-0.006021332731206841,-0.006097223140413714,-0.006171639420219009,-0.006135235026558666,-0.005989506515237189,-0.0061470235035723155,-0.006028307144577028,-0.0059118638741948075,-0.0060600720509830855,7.659263607321562e-05
0.009601235389709473,0.0009171271084264631,0.0007985115051269531,0.0003992936078691696,200,RBF(length_scale=1),"{'svr__C': 200, 'svr__kernel': RBF(length_scale=1)}",-0.006439486629690953,-0.004484603899556253,-0.0049505708676999246,-0.004951451627515505,-0.005440242616141917,-0.004162263606698874,-0.005620617682668896,-0.004105946976372363,-0.006472432103870082,-0.004555596330911684,-0.0051183212341126445,0.0008153661632062739,11,-0.004690010048804813,-0.00445097243813289,-0.004422671767998622,-0.004292472145449571,-0.0043527932806603,-0.0044905655138213,-0.004448359056030324,-0.004302503466337486,-0.004330602574410807,-0.00448826752088739,-0.0044269217812533505,0.00011243414086021508
0.012698769569396973,0.0016158654424234602,0.0008002996444702148,0.0004001557663190723,200,RBF(length_scale=2),"{'svr__C': 200, 'svr__kernel': RBF(length_scale=2)}",-0.005252026501775331,-0.004016826269961331,-0.00335489840315511,-0.00415781333750871,-0.005417370824398036,-0.00491459280852207,-0.0035267732741611885,-0.0038822525521820506,-0.004828926616319552,-0.003684840823137865,-0.0043036321411121245,0.0007040356901370085,3,-0.003797929855541672,-0.004005592246714189,-0.0039616892910832625,-0.0038715420246639215,-0.0037663963439205574,-0.004046646772208226,-0.0039517509012589125,-0.004081228808893332,-0.003725462488365033,-0.003883894027627964,-0.0039092132760277076,0.00011442666314435508
0.012595033645629883,0.0012057667577188918,0.0010998964309692383,0.0003003901531546145,200,RBF(length_scale=4),"{'svr__C': 200, 'svr__kernel': RBF(length_scale=4)}",-0.006391453638888535,-0.004717920933179687,-0.005183715103306151,-0.005099384407557577,-0.00461280063980839,-0.004458161209423447,-0.0036935043536645293,-0.00403606422426783,-0.004179025403498842,-0.0038598516653183573,-0.004623188157891334,0.0007545211641526832,9,-0.003924895521148878,-0.004350361836084674,-0.004110851259679226,-0.004354808726011779,-0.004304606261596501,-0.0043230504013597485,-0.004396405986517373,-0.004364272247910722,-0.004427688925366943,-0.004308644570572607,-0.004286558573624845,0.0001451106379864516
